Id,NoSelected,TxSize,NoSelectedReal,TxSizeReal,NoVin,NoVout,Runtime
5ad448a959678302d59e6f75,11,2816,2,1484,99,1,2
5ad44bfdce94cf05c955f862,2,1352,2,1352,2,1,0
5ad44e0ece94cf05c955f864,2,1492,2,1492,3,2,0
5ad44e1bce94cf05c955f865,2,1348,2,1348,2,1,0
5ad4503ece94cf05c955f868,5,1894,2,1484,5,1,0
5ad4517cce94cf05c955f86a,5,2068,2,1624,16,2,0
5ad4519cce94cf05c955f86b,6,2046,2,1488,6,1,0
5ad45307ce94cf05c955f86c,2,1344,2,1344,2,1,0
5ad45353ce94cf05c955f86d,3,2080,3,2080,3,2,0
5ad4537ece94cf05c955f86e,2,1484,2,1484,2,2,0
5ad45471ce94cf05c955f86f,45,23682,8,18172,19863,101,6
5ad45a854c372215dd13d61b,46,24102,9,18592,19880,100,7
5ad45aac4c372215dd13d61c,7,2536,3,1944,7,1,0
5ad45bc64c372215dd13d61d,3,1636,2,1488,3,2,0
5ad45f554c372215dd13d620,3,3856,7,4448,8,1,0
5ad460064c372215dd13d621,8,3640,4,3048,8,1,0
5ad4601c4c372215dd13d622,2,1360,2,1360,2,1,0
5ad460274c372215dd13d623,10,3466,3,2464,10,1,0
5ad462d64c372215dd13d625,2,1484,2,1484,2,2,0
5ad464274c372215dd13d626,3,1666,2,1484,4,2,0
5ad466074c372215dd13d627,4,2254,3,2072,6,2,0
5ad466964c372215dd13d628,2,1496,2,1496,2,2,0
5ad466b84c372215dd13d629,3,1640,2,1492,3,2,0
5ad467694c372215dd13d62a,4,2536,4,2536,4,1,0
5ad468234c372215dd13d62c,2,1344,2,1344,2,1,0
5ad469f14c372215dd13d62e,5,2418,3,2088,9,2,0
5ad46c154c372215dd13d630,2,1492,2,1492,2,2,0
5ad46c3a4c372215dd13d631,2,1484,2,1484,3,2,0
5ad46ca84c372215dd13d632,3,1940,3,1940,3,1,0
5ad46ec14c372215dd13d633,7,4304,7,4304,7,1,0
5ad46ef24c372215dd13d634,5,2044,2,1600,5,1,0
5ad471284c372215dd13d638,3,1610,2,1496,3,1,0
5ad471b84c372215dd13d639,2,1458,2,1492,4,1,0
5ad472484c372215dd13d63a,12,2836,2,1356,12,1,0
5ad472ba4c372215dd13d63b,2,1600,2,1600,2,1,0
5ad472c54c372215dd13d63c,2,1488,2,1488,2,2,0
5ad473814c372215dd13d63d,2,2036,2,2036,6,5,0
5ad4739d4c372215dd13d63e,3,1640,2,1492,3,2,0
5ad4742c4c372215dd13d63f,2,1352,2,1352,2,1,0
5ad474d64c372215dd13d640,4,2656,4,2656,4,2,0
5ad475124c372215dd13d641,22,4444,2,1484,94,1,0
5ad4758c4c372215dd13d642,30,13498,8,10208,19840,41,6
5ad476594c372215dd13d643,2,1488,2,1488,2,2,0
5ad476844c372215dd13d644,4,2536,4,2536,4,1,0
5ad476fb4c372215dd13d645,5,1932,2,1488,38,1,0
5ad477294c372215dd13d646,4,2680,4,2680,4,2,0
5ad4791c4c372215dd13d648,31,6040,2,1748,1192,1,0
5ad47be34c372215dd13d64a,4,2186,3,2072,4,1,0
5ad47d664c372215dd13d64c,15,6500,9,5612,18,1,0
5ad47dc44c372215dd13d64d,4,1818,2,1488,5,2,0
5ad47eb64c372215dd13d64e,6,3840,6,3840,6,2,0
5ad47f9d4c372215dd13d64f,2,1356,2,1356,2,1,0
5ad484584c372215dd13d651,5,3260,5,3260,6,2,0
5ad484ba4c372215dd13d652,3,2072,3,2072,3,2,0
5ad486864c372215dd13d654,8,2786,3,2080,8,1,0
5ad486964c372215dd13d655,6,3724,6,3724,6,1,0
5ad4874d4c372215dd13d656,2,1488,2,1488,2,2,0
5ad487e34c372215dd13d657,10,2672,2,1488,10,2,0
5ad4884f4c372215dd13d658,14,3264,2,1488,14,2,0
5ad489674c372215dd13d659,7,3996,6,3848,7,2,0
5ad489ba4c372215dd13d65b,6,3716,6,3716,6,1,0
5ad48ad14c372215dd13d65c,3,2080,3,2080,3,2,0
5ad48afa4c372215dd13d65d,2,1492,2,1492,2,2,0
5ad48b864c372215dd13d65e,28,6124,2,2276,38,5,0
5ad48dac4c372215dd13d65f,1,1612,2,1760,7,3,0
5ad48de24c372215dd13d660,2,1492,2,1492,2,2,0
5ad48e444c372215dd13d661,3,2296,2,2148,6,6,0
5ad48f254c372215dd13d663,3,2076,3,2076,4,2,0
5ad490a54c372215dd13d665,106,16918,2,1492,115,2,0
5ad491554c372215dd13d666,2,1484,2,1484,6,2,0
5ad492cd4c372215dd13d668,2,1348,2,1348,2,1,0
5ad4933b4c372215dd13d669,7,3962,6,3848,7,1,0
5ad494f14c372215dd13d66a,2,1352,2,1352,2,1,0
5ad495554c372215dd13d66b,5,3112,5,3112,5,1,0
5ad4957e4c372215dd13d66c,30,6672,2,2528,36,7,0
5ad498914c372215dd13d66e,4,3048,4,3048,4,1,0
5ad4990e4c372215dd13d66f,4,2224,3,2076,39,1,0
5ad499f44c372215dd13d670,10,6072,10,6072,10,1,0
5ad49b514c372215dd13d671,47,23966,8,18160,19774,101,6
5ad49caa4c372215dd13d672,2,1484,2,1484,2,2,0
5ad49e5c4c372215dd13d676,2,1632,2,1632,12,2,0
5ad49ea34c372215dd13d677,29,13950,4,10216,19777,59,7
5ad49f644c372215dd13d678,2,1352,2,1352,2,1,0
5ad49faf4c372215dd13d679,2,1356,2,1356,2,1,0
5ad4a25d4c372215dd13d685,3,1932,3,1932,3,1,0
5ad4a2ec4c372215dd13d686,4,1792,2,1496,4,2,0
5ad4a3084c372215dd13d687,3,1936,3,1936,3,1,0
5ad4a4934c372215dd13d688,7,4448,7,4448,7,2,0
5ad4a74f4c372215dd13d68a,11,5878,9,5616,11,1,0
5ad4a9e64c372215dd13d68b,2,1492,2,1492,2,2,0
5ad4aa604c372215dd13d68c,2,1360,2,1360,2,1,0
5ad4aacf4c372215dd13d68d,14,4096,3,2468,17,1,0
5ad4ab444c372215dd13d68e,3,1948,3,1948,3,1,0
5ad4abb84c372215dd13d68f,35,6376,2,1492,35,2,0
5ad4abfe4c372215dd13d690,42,8334,4,2676,255,2,0
5ad4ac0f4c372215dd13d691,3,1606,2,1492,3,1,0
5ad4ac8e4c372215dd13d692,2,1492,2,1492,2,2,0
5ad4acaf4c372215dd13d693,3,2088,3,2088,3,2,0
5ad4ad324c372215dd13d694,4,2520,4,2520,4,1,0
5ad4ad534c372215dd13d695,55,26038,10,19344,19747,101,7
5ad4ad714c372215dd13d696,4,1788,2,1492,5,1,0
5ad4ada24c372215dd13d697,2,1496,2,1496,2,2,0
5ad4ae9d4c372215dd13d698,158,25972,4,3180,1091,1,0
5ad4b06e4c372215dd13d69b,3,1858,2,1744,3,1,0
5ad4b1224c372215dd13d69c,2,1492,2,1492,2,2,0
5ad4b2664c372215dd13d69e,3,1948,3,1948,3,1,0
5ad4b33c4c372215dd13d69f,2,1356,2,1356,2,1,0
5ad4b3884c372215dd13d6a0,2,1488,2,1488,26,2,0
5ad4b4b54c372215dd13d6a1,10,6200,10,6200,82,2,0
5ad4b5034c372215dd13d6a2,2,1352,2,1352,2,1,0
5ad4b5fb4c372215dd13d6a3,7,2194,2,1488,7,1,0
5ad4b8154c372215dd13d6a7,2,1488,2,1488,2,2,0
5ad4b8d74c372215dd13d6a8,37,10306,8,6048,37,1,0
5ad4b9324c372215dd13d6a9,5,2158,2,1748,5,1,0
5ad4b9644c372215dd13d6aa,33,22614,10,19176,19623,100,7
5ad4ba104c372215dd13d6ab,4,2668,4,2668,4,2,0
5ad4baab4c372215dd13d6ac,5,1928,2,1484,8,1,0
5ad4bb5b4c372215dd13d6ad,2,1480,2,1480,2,2,0
5ad4bc7b4c372215dd13d6ae,46,22474,5,16372,19619,101,6
5ad4bcc54c372215dd13d6af,16,6418,3,4460,19614,20,18
5ad4bcf94c372215dd13d6b0,2,1492,2,1492,3,2,0
5ad4bd964c372215dd13d6b2,2,1356,2,1356,2,1,0
5ad4be974c372215dd13d6b4,4,2540,4,2540,4,1,0
5ad4bf004c372215dd13d6b5,5,3112,5,3112,5,1,0
5ad4bf7f4c372215dd13d6b6,9,3412,4,2672,9,2,0
5ad4bfd94c372215dd13d6b7,4,2258,3,2076,15,2,0
5ad4c0d94c372215dd13d6b8,3,2484,3,2484,5,4,0
5ad4c1be4c372215dd13d6b9,5,2342,3,2080,5,1,0
5ad4c4144c372215dd13d6bb,11,4152,5,3264,17,1,0
5ad4c5ad4c372215dd13d6bc,2,1360,2,1360,2,1,0
5ad4c6024c372215dd13d6bd,4,1750,2,1488,4,1,0
5ad4cb594c372215dd13d6be,6,2490,3,2080,6,1,0
5ad4cb834c372215dd13d6bf,38,23490,10,19312,19555,101,7
